,X,Y,Z,Cluster,ClusterZ
124706,-7.5470833046129,33.545416725275196,31732.564453125,1,1
124707,-7.5387499713129,33.545416725275196,43736.49609375,1,1
124708,-7.530416638012899,33.545416725275196,36645.59765625,1,1
124709,-7.522083304712899,33.545416725275196,9298.7119140625,0,3
124710,-7.513749971412899,33.545416725275196,7001.43994140625,0,3
124711,-7.505416638112899,33.545416725275196,3438.6884765625,3,0
124712,-7.497083304812899,33.545416725275196,3879.906982421875,3,0
124713,-7.488749971512899,33.545416725275196,6181.1201171875,0,3
124714,-7.480416638212899,33.545416725275196,4737.07470703125,3,3
124715,-7.472083304912899,33.545416725275196,2995.535888671875,3,0
124716,-7.463749971612899,33.545416725275196,816.2958984375,3,0
124717,-7.455416638312901,33.545416725275196,446.2454223632813,3,0
124718,-7.4470833050128995,33.545416725275196,386.90667724609375,3,0
124719,-7.438749971712901,33.545416725275196,419.8845825195313,3,0
124720,-7.4304166384129,33.545416725275196,269.9962158203125,3,0
124721,-7.422083305112899,33.545416725275196,190.2801055908203,3,0
124722,-7.4137499718129,33.545416725275196,132.24684143066406,3,0
125430,-7.738749970512899,33.537083391975195,4360.98046875,3,0
125431,-7.730416637212899,33.537083391975195,7135.1025390625,0,3
125432,-7.722083303912899,33.537083391975195,8710.1376953125,0,3
125433,-7.713749970612899,33.537083391975195,6331.47509765625,0,3
125434,-7.705416637312899,33.537083391975195,6413.42626953125,0,3
125435,-7.697083304012899,33.537083391975195,4896.85986328125,0,3
125436,-7.688749970712899,33.537083391975195,7942.64306640625,0,3
125437,-7.6804166374128995,33.537083391975195,11568.953125,0,3
125438,-7.672083304112901,33.537083391975195,12524.650390625,0,2
125439,-7.6637499708128995,33.537083391975195,8552.2177734375,0,3
125440,-7.655416637512899,33.537083391975195,7351.6708984375,0,3
125441,-7.6470833042129,33.537083391975195,9999.7900390625,0,3
125442,-7.638749970912899,33.537083391975195,12302.189453125,0,3
125443,-7.630416637612899,33.537083391975195,12948.375,2,2
125444,-7.622083304312899,33.537083391975195,16727.2890625,2,2
125445,-7.613749971012899,33.537083391975195,18779.19140625,2,2
125446,-7.605416637712899,33.537083391975195,22189.23046875,2,2
125447,-7.597083304412899,33.537083391975195,25203.80859375,2,2
125448,-7.588749971112899,33.537083391975195,24883.91015625,2,2
125449,-7.580416637812899,33.537083391975195,24586.701171875,2,2
125450,-7.5720833045128995,33.537083391975195,19517.42578125,2,2
125451,-7.563749971212901,33.537083391975195,8870.8662109375,0,3
125452,-7.5554166379128995,33.537083391975195,14794.7646484375,2,2
125453,-7.5470833046129,33.537083391975195,15098.3134765625,2,2
125454,-7.5387499713129,33.537083391975195,20317.529296875,2,2
125455,-7.530416638012899,33.537083391975195,21916.33984375,2,2
125456,-7.522083304712899,33.537083391975195,10887.9150390625,0,3
125457,-7.513749971412899,33.537083391975195,4640.5380859375,3,0
125458,-7.505416638112899,33.537083391975195,3261.960693359375,3,0
125459,-7.497083304812899,33.537083391975195,5340.505859375,0,3
125460,-7.488749971512899,33.537083391975195,5914.91650390625,0,3
125461,-7.480416638212899,33.537083391975195,2535.1259765625,3,0
125462,-7.472083304912899,33.537083391975195,1253.60302734375,3,0
125463,-7.463749971612899,33.537083391975195,239.7940673828125,3,0
125464,-7.455416638312901,33.537083391975195,163.6320648193359,3,0
125465,-7.4470833050128995,33.537083391975195,317.4412536621094,3,0
125466,-7.438749971712901,33.537083391975195,501.9446411132813,3,0
125467,-7.4304166384129,33.537083391975195,366.3913269042969,3,0
125468,-7.422083305112899,33.537083391975195,281.067138671875,3,0
125469,-7.4137499718129,33.537083391975195,180.72702026367188,3,0
126180,-7.738749970512899,33.5287500586752,6388.89453125,0,3
126181,-7.730416637212899,33.5287500586752,5579.8681640625,0,3
126182,-7.722083303912899,33.5287500586752,5342.62939453125,0,3
126183,-7.713749970612899,33.5287500586752,4153.056640625,3,0
