,id,y,x,name,type,category,surface,parking,KMcluster10,complete_name,Population_inf_1_Km,nombre_de_voisins,index_voisins
82,8755951134,33.5833045,-7.6221079,Bim,node,Super Market,250,,4.0,"Super Market Bim at -7.6221079 , 33.5833045",42552.49755859375,17,"[28, 40, 59, 92, 93, 94, 95, 96, 97, 98, 106, 153, 173, 176, 203, 221, 222]"
83,8756264788,33.5740027,-7.6361846,Carrefour Market,node,Super Market,1500,,1.0,"Super Market Carrefour Market at -7.6361846 , 33.5740027",39707.849609375,8,"[10, 52, 80, 85, 134, 153, 214, 220]"
84,8756312688,33.5757154,-7.6473604,Delicatess,node,Super Market,100,,1.0,"Super Market Delicatess at -7.6473604 , 33.5757154",52171.00634765625,9,"[10, 18, 19, 20, 45, 52, 85, 150, 217]"
85,8756312691,33.5765392,-7.6464177,Bim,node,Super Market,250,,1.0,"Super Market Bim at -7.6464177 , 33.5765392",43506.39599609375,12,"[10, 19, 20, 45, 52, 83, 84, 134, 150, 214, 217, 220]"
86,8757524291,33.5937022,-7.5987385,BIM,node,Super Market,250,,4.0,"Super Market BIM at -7.5987385 , 33.5937022",74556.6826171875,21,"[1, 34, 48, 60, 63, 64, 69, 89, 111, 112, 113, 114, 123, 124, 125, 127, 128, 129, 172, 190, 224]"
87,8758727346,33.5761384,-7.6601328,Tropy,node,Super Market,100,,1.0,"Super Market Tropy at -7.6601328 , 33.5761384",27302.03369140625,5,"[18, 19, 20, 45, 150]"
88,8759322185,33.5668178,-7.6559634,Marjane Market,node,Super Market,1500,,1.0,"Super Market Marjane Market at -7.6559634 , 33.5668178",49270.6904296875,6,"[18, 19, 20, 107, 216, 217]"
89,8810113917,33.591678,-7.5948403,my SuperMarket,node,Super Market,1500,,4.0,"Super Market my SuperMarket at -7.5948403 , 33.591678",64663.2744140625,23,"[1, 23, 34, 48, 55, 63, 64, 86, 111, 112, 113, 114, 122, 123, 124, 125, 127, 128, 129, 145, 172, 190, 224]"
90,8880696017,33.6083504,-7.4998647,my supermarket,node,Super Market,100,,6.0,"Super Market مقتصدية التعليم سيدي البرنوصي at -7.4998647 , 33.6083504",40282.0537109375,2,"[76, 161]"
91,8880696018,33.5865086,-7.5030457,my supermarket,node,Super Market,100,,0.0,"Super Market بيم at -7.5030457 , 33.5865086",160908.978515625,1,[140]
92,9620605641,33.5802619,-7.6224175,ADIPRO,node,Super Market,100,,1.0,"Super Market ADIPRO at -7.6224175 , 33.5802619",29812.8544921875,14,"[16, 17, 28, 82, 93, 94, 95, 96, 97, 98, 153, 176, 203, 221]"
93,9620605642,33.5805361,-7.6217608,Art Deco Et Laser,node,Super Market,100,,1.0,"Super Market Art Deco Et Laser at -7.6217608 , 33.5805361",29812.8544921875,15,"[16, 17, 28, 82, 92, 94, 95, 96, 97, 98, 153, 173, 176, 203, 221]"
94,9620605648,33.5802289,-7.6232078,Espace Turquie,node,Super Market,100,,1.0,"Super Market Espace Turquie at -7.6232078 , 33.5802289",29812.8544921875,14,"[16, 17, 28, 82, 92, 93, 95, 96, 97, 98, 153, 176, 203, 221]"
95,9620605649,33.5798484,-7.6228174,Societe Industrielle De Produits Medical Sa,node,Super Market,1500,,1.0,"Super Market Societe Industrielle De Produits Medical Sa at -7.6228174 , 33.5798484",29812.8544921875,14,"[16, 17, 28, 82, 92, 93, 94, 96, 97, 98, 153, 176, 203, 221]"
